time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
0.000000;1.00689;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.005006;1.0083;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.010016;1.01024;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.015019;1.01295;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.020022;1.01649;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.025025;1.02047;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.030025;1.02502;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.035023;1.03028;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.040016;1.03618;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.045004;1.04252;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.050016;1.04918;0;0.03;-0.05;0;0.03;4.05;0;0.03
