Format;DataName;DataUnits;DataType;Data12;Npt1;Npt2;Npt3;PtRef.x [m];PtRef.y;PtRef.z;Vec1.x [m];Vec1.y;Vec1.z;Vec2.x;Vec2.y;Vec2.z;Vec3.x;Vec3.y;Vec3.z;DirDat.x;DirDat.y;DirDat.z
JMeshTDatas-200817;VelDir; [m];float;true;4;1;53;0;0;0;0;1;0;0;0;0;0;0;0.04;1;0;0
time [s];v(0:0);v(1:0);v(2:0);v(3:0);;;;;;;;;;;;;;;;;;
0;1;1;1;1;;;;;;;;;;;;;;;;;;
0.5;1;1;1;1;;;;;;;;;;;;;;;;;;
1;1;1;3;3;;;;;;;;;;;;;;;;;;
1.5;1;3;3;1;;;;;;;;;;;;;;;;;;
2;3;3;1;1;;;;;;;;;;;;;;;;;;
2.5;3;3;1;1;;;;;;;;;;;;;;;;;;
3;3;1;3;1;;;;;;;;;;;;;;;;;;
3.5;4;0;4;0;;;;;;;;;;;;;;;;;;
