Format;DataName;DataUnits;DataType;Data12;Npt1;Npt2;Npt3;PtRef.x [m];PtRef.y;PtRef.z;Vec1.x [m];Vec1.y;Vec1.z;Vec2.x;Vec2.y;Vec2.z;Vec3.x;Vec3.y;Vec3.z;DirDat.x;DirDat.y;DirDat.z
JMeshTDatas-200817;Vel; [m/s];float3;true;4;1;53;0;0;0;0;1;0;0;0;0;0;0;0.04;1;0;0
time [s];v(0:0).x;v(0:0).y;v(0:0).z;v(1:0).x;v(1:0).y;v(1:0).z;v(2:0).x;v(2:0).y;v(2:0).z;v(3:0).x;v(3:0).y;v(3:0).z;;;;;;;;;;
0.00;4;0;0;4;0;0;4;0;0;4;0;0;;;;;;;;;;
1.00;4;0;0;4;0;0;4;0;0;4;0;0;;;;;;;;;;
1.50;2.828;2.828;0;2.828;2.828;0;2.828;2.828;0;2.828;2.828;0;;;;;;;;;;
2.00;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;;;;;;;;;;
3.00;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;;;;;;;;;;
3.50;2.309;-2.309;2.309;2.309;-2.309;2.309;2.309;-2.309;2.309;2.309;-2.309;2.309;;;;;;;;;;
4.00;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;;;;;;;;;;
4.50;2.309;-2.309;2.309;2.309;-2.309;2.309;2.309;-2.309;2.309;2.309;-2.309;2.309;;;;;;;;;;
5.00;4;0;0;4;0;0;4;0;0;4;0;0;;;;;;;;;;
5.50;4;0;0;4;0;0;4;0;0;4;0;0;;;;;;;;;;
6.00;2.309;-2.309;2.309;2.309;-2.309;2.309;2.309;2.309;2.309;2.309;2.309;2.309;;;;;;;;;;
