Format;DataName;DataUnits;DataType;Data12;Npt1;Npt2;Npt3;PtRef.x [m];PtRef.y;PtRef.z;Vec1.x [m];Vec1.y;Vec1.z;Vec2.x;Vec2.y;Vec2.z;Vec3.x;Vec3.y;Vec3.z;DirDat.x;DirDat.y;DirDat.z
JMeshTDatas-200817;Zsurf;[m];float;false;81;1;1;0;0;0;0;0.05;0;0;0;0;0;0;0;1;0;0
time [s];v(0:0:0);v(1:0:0);v(2:0:0);v(3:0:0);v(4:0:0);v(5:0:0);v(6:0:0);v(7:0:0);v(8:0:0);v(9:0:0);v(10:0:0);v(11:0:0);v(12:0:0);v(13:0:0);v(14:0:0);v(15:0:0);v(16:0:0);v(17:0:0);v(18:0:0);v(19:0:0);v(20:0:0);v(21:0:0);v(22:0:0);v(23:0:0);v(24:0:0);v(25:0:0);v(26:0:0);v(27:0:0);v(28:0:0);v(29:0:0);v(30:0:0);v(31:0:0);v(32:0:0);v(33:0:0);v(34:0:0);v(35:0:0);v(36:0:0);v(37:0:0);v(38:0:0);v(39:0:0);v(40:0:0);v(41:0:0);v(42:0:0);v(43:0:0);v(44:0:0);v(45:0:0);v(46:0:0);v(47:0:0);v(48:0:0);v(49:0:0);v(50:0:0);v(51:0:0);v(52:0:0);v(53:0:0);v(54:0:0);v(55:0:0);v(56:0:0);v(57:0:0);v(58:0:0);v(59:0:0);v(60:0:0);v(61:0:0);v(62:0:0);v(63:0:0);v(64:0:0);v(65:0:0);v(66:0:0);v(67:0:0);v(68:0:0);v(69:0:0);v(70:0:0);v(71:0:0);v(72:0:0);v(73:0:0);v(74:0:0);v(75:0:0);v(76:0:0);v(77:0:0);v(78:0:0);v(79:0:0);v(80:0:0)
0.0;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
3.5;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
4.0;0.1;0.10875000000000001;0.11750000000000001;0.12625;0.135;0.14375000000000002;0.15250000000000002;0.16125;0.17;0.17875000000000002;0.1875;0.19625;0.20500000000000002;0.21375000000000002;0.22250000000000003;0.23125;0.24000000000000002;0.24875000000000003;0.25750000000000006;0.26625;0.275;0.28375000000000006;0.2925;0.30125;0.31000000000000005;0.31875000000000003;0.3275;0.33625000000000005;0.34500000000000003;0.35375;0.36250000000000004;0.3712500000000001;0.38;0.38875000000000004;0.3975000000000001;0.40625;0.41500000000000004;0.42375000000000007;0.4325;0.44125000000000003;0.45000000000000007;0.45875;0.4675;0.47625000000000006;0.485;0.49375;0.5025000000000001;0.5112500000000001;0.52;0.52875;0.5375000000000001;0.54625;0.555;0.5637500000000001;0.5725;0.58125;0.5900000000000001;0.59875;0.6075;0.6162500000000001;0.625;0.63375;0.6425000000000001;0.65125;0.66;0.6687500000000001;0.6775;0.68625;0.6950000000000001;0.70375;0.7125;0.7212500000000001;0.7300000000000001;0.73875;0.7475;0.7562500000000001;0.765;0.77375;0.7825000000000001;0.79125;0.8
4.0001;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
5.0;0.9999999999999999;0.9887499999999999;0.9774999999999999;0.9662499999999999;0.955;0.94375;0.9325;0.9212499999999999;0.9099999999999999;0.8987499999999999;0.8875;0.87625;0.865;0.8537499999999999;0.8424999999999999;0.8312499999999999;0.82;0.80875;0.7975;0.78625;0.7749999999999999;0.7637499999999999;0.7525;0.74125;0.73;0.71875;0.7074999999999999;0.6962499999999999;0.6849999999999999;0.67375;0.6625;0.65125;0.64;0.6287499999999999;0.6174999999999999;0.60625;0.595;0.58375;0.5725;0.56125;0.5499999999999999;0.53875;0.5275;0.51625;0.505;0.49375;0.48250000000000004;0.47124999999999995;0.45999999999999996;0.44875;0.4375;0.42625;0.41500000000000004;0.40374999999999994;0.39249999999999996;0.38125;0.37;0.35875;0.34750000000000003;0.33625;0.32499999999999996;0.31375;0.3025;0.29125;0.28;0.26875;0.2575;0.24625;0.23500000000000001;0.22375;0.2125;0.20124999999999998;0.19;0.17875000000000002;0.1675;0.15625;0.14500000000000002;0.13375;0.1225;0.11125;0.1
5.0001;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
5.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
6.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
6.0001;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
6.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.2179449471770338;1.3000000000000003;1.3570714214271427;1.4000000000000001;1.4330127018922192;1.4582575694955842;1.476969600708473;1.4898979485566357;1.49749371855331;1.5;1.49749371855331;1.4898979485566355;1.476969600708473;1.458257569495584;1.4330127018922192;1.4;1.3570714214271424;1.2999999999999996;1.2179449471770334;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
